id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1046059,2011-07-17,2011-07-17,,New Delhi,14702,vipulramanuj,Vipul Ramanuj,2014-10-30 05:54:53 UTC,2023-10-12 10:24:31 UTC,research,,http://www.inaturalist.org/observations/1046059,https://static.inaturalist.org/photos/1312662/medium.jpg,,"Viper, Snakes, Habitat, Russell's","",12,0,false,,Gujarat,22.258652,71.192381,431494,,,,431494,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
1101803,2014-11-26,2014-11-26,,New Delhi,65057,ptgooty,,2014-11-29 16:02:56 UTC,2014-11-29 16:02:56 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1101803,,,"","",0,0,false,,"Kamand, Himachal Pradesh, India",31.911827,76.591237,,,,,,,,false,,,Daboia russelii,Daboia russelii,Russell's Viper,Reptilia,30687
1652777,2014-07-17,2014-07-17,,New Delhi,14702,vipulramanuj,Vipul Ramanuj,2015-06-21 06:28:10 UTC,2023-10-12 10:24:31 UTC,research,,http://www.inaturalist.org/observations/1652777,https://static.inaturalist.org/photos/2027968/medium.jpg,,"",Perfectly camouflaged. ,9,0,false,,Gujarat,22.258652,71.192381,431494,,,,431494,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
3898006,2016-05-18 6:57:17 PM GMT+05:30,2016-05-18,2016-05-18 13:27:17 UTC,Chennai,100735,chandan,Chandan Pandey,2016-08-16 13:28:32 UTC,2023-10-12 10:24:30 UTC,research,,http://www.inaturalist.org/observations/3898006,https://static.inaturalist.org/photos/4579782/medium.jpeg,,"","",11,0,false,2, GKVK,13.072702,77.58016,212,,,,212,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
7000722,2016/04/17 9:13 PM IST,2016-04-17,2016-04-17 18:13:00 UTC,Jerusalem,235343,amangujar,Aman Gujar,2017-07-10 20:13:51 UTC,2023-10-12 10:24:30 UTC,research,,https://www.inaturalist.org/observations/7000722,https://static.inaturalist.org/photos/8966799/medium.jpg,,"",,13,0,false,,"Bhimashankar, Maharashtra, India",19.0839742662,73.536551838,641,,,,641,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
8270679,2017/06/06 10:15 AM IST,2017-06-06,2017-06-06 07:15:00 UTC,Jerusalem,63135,suhelq,Suhel Quader,2017-10-05 17:40:47 UTC,2023-10-12 10:24:29 UTC,research,CC-BY,https://www.inaturalist.org/observations/8270679,https://inaturalist-open-data.s3.amazonaws.com/photos/10970044/medium.jpg,,"",Roadkill,9,0,false,,"Canara Bank Layout, Bengaluru, Karnataka, India",13.0686242369,77.5782386881,159,,,,159,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
8859299,2017-11-17,2017-11-17,,UTC,607452,nehas,,2017-11-19 09:28:18 UTC,2022-03-16 09:51:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8859299,https://inaturalist-open-data.s3.amazonaws.com/photos/11909270/medium.jpg,,"",Saw this magnificent full grown Russel's viper crossing the road.,4,0,false,2,,,,9,,,,30699,private,,true,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
8883959,2013-12-01 02:02:50,2013-12-01,2013-11-30 20:32:50 UTC,Mumbai,679749,swanand,swanand kesari,2017-11-21 08:18:55 UTC,2023-10-12 10:24:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8883959,https://inaturalist-open-data.s3.amazonaws.com/photos/11948702/medium.jpg,,Russel's viper,"",12,0,false,," Shri Taljai Mata Devasthan Taljai Matha, Taljai, Near Parvati",18.479617,73.849052,77,,,,77,,,false,,manual,Daboia russelii,Daboia russelii,Russell's Viper,Reptilia,30687
9275938,2017/12/09 6:22 PM PST,2017-12-09,2017-12-10 02:22:00 UTC,Pacific Time (US & Canada),6581,akrohn,Alex Krohn,2017-12-27 20:13:50 UTC,2023-10-12 10:24:30 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/9275938,https://inaturalist-open-data.s3.amazonaws.com/photos/12568146/medium.jpeg,,"",Found in a thicket of brush near an open pasture/rice paddy.,10,0,false,,"Kegalle, Sri Lanka",12.75,80.234,317,,,,317,,,false,,,Daboia russelii,Daboia russelii,Russell's Viper,Reptilia,30687
9400590,Fri Apr 30 2004 18:11:23 GMT-0700 (PDT),2004-04-30,2004-05-01 01:11:23 UTC,Pacific Time (US & Canada),438530,rj83,Rahul Joshi,2018-01-08 02:13:45 UTC,2018-01-08 02:13:45 UTC,casual,CC0,https://www.inaturalist.org/observations/9400590,,,"",,0,0,false,3,"Borivali West, Mumbai, Maharashtra, IN",19.2364952089,72.8495014625,38,,,,38,,,false,,,,Daboia russelii,Russell's Viper,Reptilia,30687
9419822,2018/01/01 9:56 AM IST,2018-01-01,2018-01-01 04:26:00 UTC,Kolkata,34585,subhajit_roy,Subhajit Roy,2018-01-09 10:47:14 UTC,2023-10-12 10:24:28 UTC,research,CC-BY,https://www.inaturalist.org/observations/9419822,https://inaturalist-open-data.s3.amazonaws.com/photos/12799725/medium.jpeg,,"","",12,0,false,,Borshul,23.174777,87.963366,,,,,,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
9440162,Thu Jan 11 2018 23:15:58 GMT+0530 (GMT+5:30),2018-01-11,2018-01-11 17:45:58 UTC,Chennai,489548,ramitsingal,Ramit Singal,2018-01-11 18:13:49 UTC,2023-10-12 10:24:29 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/9440162,https://inaturalist-open-data.s3.amazonaws.com/photos/12834905/medium.jpg,,"",,12,0,false,3,"Mahatma Gandhi Road, Bengaluru, Karnataka, IN",13.0677267647,77.5787496053,26,,,,26,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
12159557,Mon Apr 09 2018 15:17:32 GMT+0530 (GMT+5:30),2018-04-09,2018-04-09 09:47:32 UTC,Chennai,868425,jasondg95,Jason Gerard,2018-05-05 14:56:39 UTC,2023-10-12 10:24:33 UTC,research,,https://www.inaturalist.org/observations/12159557,https://static.inaturalist.org/photos/17454582/medium.jpg,,"",,14,0,false,3,"234-257 Velachery Main Road, Chennai, Tamil Nadu, IN",13.000294445,80.2180716667,5,,,,5,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
12850075,2018-05-26 7:22:11 AM IST,2018-05-26,2018-05-26 04:22:11 UTC,Jerusalem,579708,ravinaidu,Ravi Naidu,2018-05-27 04:46:14 UTC,2023-10-12 10:24:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/12850075,https://inaturalist-open-data.s3.amazonaws.com/photos/18646493/medium.jpeg,,"",Roadkill,12,0,false,2,"Nizamabad - Mancherial - Jagdalpur Rd, Chhattisgarh 494448, India",18.7459697723,80.6893463135,,,,,,,,false,gps,gps,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
13418980,Mon Jun 11 2018 08:23:34 GMT+0530 (GMT+5:30),2018-06-11,2018-06-11 02:53:34 UTC,Chennai,279588,dougtaron,Doug Taron,2018-06-14 09:19:02 UTC,2023-10-12 10:24:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13418980,https://inaturalist-open-data.s3.amazonaws.com/photos/19688538/medium.jpg,,"",,9,0,false,3,"University of Agricultural Sciences, Bengaluru, Karnataka, IN",13.0735922202,77.5821413906,36,,,,36,,,false,,,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
13448821,2018-06-03 4:49:40 PM IST,2018-06-03,2018-06-03 13:49:40 UTC,Jerusalem,63135,suhelq,Suhel Quader,2018-06-15 13:42:01 UTC,2023-10-12 10:24:35 UTC,research,CC-BY,https://www.inaturalist.org/observations/13448821,https://inaturalist-open-data.s3.amazonaws.com/photos/19740312/medium.jpeg,,"",,10,0,false,2,"Bangalore, IN-KA, IN",13.0679206848,77.5782318115,,,,,,,,false,gps,gps,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
14066849,2018/06/25 5:26 PM IST,2018-06-25,2018-06-25 14:26:00 UTC,Jerusalem,1061487,temjen,Temjen,2018-07-05 06:59:26 UTC,2023-07-23 16:59:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14066849,https://inaturalist-open-data.s3.amazonaws.com/photos/20820471/medium.jpeg,,"",was told that its a russell's viper ,4,0,false,,India,28.2591116903,94.7383939046,294594,,,,294594,obscured,,true,,,Common Mock Viper,Psammodynastes pulverulentus,Common Mock Viper,Reptilia,28999
14305661,2013-02-03 12:10:34 PM GMT+05:30,2013-02-03,2013-02-03 06:40:34 UTC,Chennai,135656,mayuresh_kulkarni,Mayuresh Kulkarni,2018-07-13 02:01:12 UTC,2023-10-12 10:24:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14305661,https://inaturalist-open-data.s3.amazonaws.com/photos/21248284/medium.jpeg,,"","Russell's viper (Daboia russelii) is a species of venomous snake in the family Viperidae. Daboia is a monotypic genus of venomous Old World vipers. The single member species, D. russelii, is found in Asia throughout the Indian subcontinent, much of Southeast Asia, southern China and Taiwan.The species was named in honor of Patrick Russell (1726–1805),a Scottish herpetologist who first described many of India's snakes, and the name of the genus is from the Urdu word meaning ""that lies hid"", or ""the lurker"".Apart from being a member of the big four snakes in India, Daboia is also one of the genera responsible for causing the most snakebiteincidents and deaths among all venomous snakes on account of many factors, such as their wide distribution, generally aggressive demeanor, and frequent occurrence in highly populated areas.
D. russelii can grow to a maximum total length (body + tail) of 166 cm (5.5 ft) and averages about 120 cm (4 ft) on mainland Asian populations, although island populations may be slightly smaller on average. It is more slenderly built than most other vipers.
D. russelii is not restricted to any particular habitat, but does tend to avoid dense forests. The snake is mostly found in open, grassy or bushy areas, but may also be found in second growth forests (scrub jungles), on forested plantations and farmland. It is most common in plains, coastal lowlands, and hills of suitable habitat. 
D. russelii is terrestrial and active primarily as a nocturnal forager. However, during cool weather, it alters its behavior and becomes more active during the day.
D. russelii feeds primarily on rodents, especially murid species. However, it will eat just about anything; including rats, mice, shrews, squirrels, lizards, land crabs, scorpions, and other arthropods. Juveniles are crepuscular, feeding on lizards and foraging actively. As they grow and become adults, they begin to specialize in rodents. Indeed, the presence of rodents and lizards is the main reason they are attracted to human habitation",11,0,false,2,"Sangamwadi Bridge, Patil Estate, Sangamvadi, Pune, Maharashtra 411006, India",18.5330507046,73.8581513241,11154,,,,11154,,,false,gps,gps,Russell's Viper,Daboia russelii,Russell's Viper,Reptilia,30687
14563329,2016/12/18 5:47 PM +0700,2016-12-18,2016-12-18 10:47:00 UTC,Bangkok,1098169,adrianhillman,"",2018-07-21 04:50:16 UTC,2023-10-13 11:16:33 UTC,research,,https://www.inaturalist.org/observations/14563329,https://static.inaturalist.org/photos/21697840/medium.jpg,,"",One of three roadkills of the same species along a 10km stretch of road,11,0,false,,"Ban Kong, U Thong District, Suphan Buri, Thailand",14.582612586,99.8413045495,1162,,,,1162,,open,false,,,Siamese Russell's Viper,Daboia siamensis,Siamese Russell's Viper,Reptilia,145768
