id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
31853,"June 01, 2011 19:44",2011-06-01,2011-06-01 11:44:00 UTC,Hong Kong,2027,kogia,"",2011-09-20 13:20:48 UTC,2022-11-07 05:39:26 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/31853,https://inaturalist-open-data.s3.amazonaws.com/photos/54903/medium.jpg,,"",It emerged from dense cover and paused around a small pond before heading back into the forest.,8,0,false,,"Plover Cove, Hong Kong.",22.5017730914,114.2790985107,,,,,,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
126214,"September 19, 2012 13:27",2012-09-19,2012-09-19 07:57:00 UTC,Kolkata,8853,ivijayanand,Vijay Anand Ismavel,2012-09-23 22:45:55 UTC,2023-07-23 16:50:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/126214,https://inaturalist-open-data.s3.amazonaws.com/photos/178643/medium.jpg,,"Banded Krait, Bungarus fasciatus, Makunda Reptiles, Makunda Snakes","Banded Krait

Location: Makunda Christian Hospital campus, Karimganj District, Assam

Date: 21st September 2012

Equipment: Nikon D300s with Nikkor AF 28-105mm lens",10,0,false,,"Makunda Christian Hospital, Karimganj District, Assam",24.4320197,92.3306894,15808,,,,15808,,open,false,,"",Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
476440,2013-09-07,2013-09-07,,Hong Kong,24302,yuchingtam,Yu Ching Tam,2013-12-05 13:15:48 UTC,2022-11-07 06:26:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/476440,https://inaturalist-open-data.s3.amazonaws.com/photos/601170/medium.jpg,,Bungarus,"",8,0,false,,Hong Kong,22.428801,114.10675,17193,,,,17193,,open,false,,"",Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
4610374,2015-01-15,2015-01-15,,Jakarta,355761,arief_purwo,ARIEF PURWO HANDOYO,2016-11-21 13:23:12 UTC,2020-12-16 10:23:34 UTC,research,,http://www.inaturalist.org/observations/4610374,https://static.inaturalist.org/photos/5576337/medium.jpeg,,"","Panjang 197cm. 
Family: Elapidae .
Genus: Bungarus .
Proteroglypha / Taring depan .",9,0,false,107,"Pekanbaru, Riau",-7.7751278,110.3718577,,,,,,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
4943842,2014/09/21 9:42 PM WIB,2014-09-21,2014-09-21 14:42:00 UTC,Jakarta,237702,fatahabib92,"",2017-01-14 17:36:07 UTC,2020-12-16 10:21:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/4943842,https://inaturalist-open-data.s3.amazonaws.com/photos/6027831/medium.jpeg,,"",,8,0,false,,IPB Dramaga,-6.5487199678,106.7195928097,15,,,,15,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
5073615,2015/12/22 12:29 PM CET,2015-12-22,2015-12-22 11:29:00 UTC,Paris,1606,thorhakonsen,Thor Håkonsen,2017-02-08 13:08:43 UTC,2022-11-01 07:26:37 UTC,research,,https://www.inaturalist.org/observations/5073615,https://static.inaturalist.org/photos/6227572/medium.jpg,,"",,9,0,false,,Khao Yai National Park Na Hin Lat Nakhon Nayok Thailand,14.3831735,101.4296906,,,,,,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
5073704,2016/09/03 3:56 AM CEST,2016-09-03,2016-09-03 01:56:00 UTC,Paris,1606,thorhakonsen,Thor Håkonsen,2017-02-08 13:40:24 UTC,2023-03-03 07:27:09 UTC,research,,https://www.inaturalist.org/observations/5073704,https://static.inaturalist.org/photos/6227688/medium.jpg,,"",,10,0,false,,"Ranong, Thailand",9.9528702,98.6084641,5000,,,,5000,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
5255581,2017-02-21,2017-02-21,,Jakarta,237702,fatahabib92,"",2017-03-09 04:59:06 UTC,2022-12-19 15:49:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5255581,https://inaturalist-open-data.s3.amazonaws.com/photos/6503584/medium.jpeg,,"",,7,0,false,,Pangkalan lada,-2.423554,111.798361,,,,,,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
5407863,2017/02/21 7:56 PM WIB,2017-02-21,2017-02-21 12:56:00 UTC,Jakarta,273017,herukurniawan48,,2017-03-20 10:32:14 UTC,2020-06-29 10:03:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5407863,https://inaturalist-open-data.s3.amazonaws.com/photos/6646001/medium.jpeg,,"",,6,0,false,,"Pangkalan Lada, West Kotawaringin Regency, Central Kalimantan, Indonesia",-2.5243972,111.7853143,16343,,,,16343,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
5516932,2017-03-31 5:58:04 PM WIB,2017-03-31,2017-03-31 10:58:04 UTC,Jakarta,424569,aswadandriyanto,aswad andriyanto,2017-03-31 11:40:07 UTC,2020-12-16 10:20:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5516932,https://inaturalist-open-data.s3.amazonaws.com/photos/6804591/medium.jpeg,,"",,7,0,false,2,"Jawa Barat, ID",-6.2515607365,106.9223260044,,,,,31356,obscured,open,true,gps,gps,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
5964584,2017-04-23,2017-04-23,,Jakarta,364426,kphhimakova,"",2017-04-26 08:14:38 UTC,2020-12-16 10:19:51 UTC,research,,https://www.inaturalist.org/observations/5964584,https://static.inaturalist.org/photos/7453358/medium.jpeg,,"","",10,1,false,,cagar alam leuweung sancang,-7.731734,107.850133,263,,,,263,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
6005540,2017-02-17 22:39:44,2017-02-17,2017-02-17 15:39:44 UTC,Jakarta,422024,ganjarcahyadi,Ganjar Cahyadi,2017-04-29 11:55:22 UTC,2022-07-11 08:19:30 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6005540,https://inaturalist-open-data.s3.amazonaws.com/photos/7512586/medium.jpeg,,"","",6,0,false,,"Jatinangor, Sumedang Regency, West Java, Indonesia",-6.932054,107.769177,4,,,,4,,open,false,,"",Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
7565015,2017/08/17 9:37 PM HKT,2017-08-17,2017-08-17 13:37:00 UTC,Hong Kong,15988,tommyswift,Tommy,2017-08-20 02:36:30 UTC,2022-11-07 06:29:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7565015,https://inaturalist-open-data.s3.amazonaws.com/photos/9877059/medium.jpeg,,"",,7,0,false,,"Tai Lam, Hong Kong",22.4198458022,114.0909093618,62,,,,62,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
7655880,2017/06/24 6:35 PM +0800,2017-06-24,2017-06-24 10:35:00 UTC,Australia/Perth,47594,kokhuitan,Tan Kok Hui,2017-08-26 10:50:00 UTC,2021-01-04 00:27:19 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7655880,https://inaturalist-open-data.s3.amazonaws.com/photos/10019777/medium.jpg,,"Singapore, Pulau Ubin",Sad end for a magnificent snake...,8,0,false,,"Pulau Ubin, Singapore",1.4125924,103.957908,1919,,,,1919,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
7840434,Thu Sep 07 2017 21:07:13 GMT+0700 (GMT+7),2017-09-07,2017-09-07 14:07:13 UTC,Bangkok,2243,earthknight,"",2017-09-09 02:45:17 UTC,2021-07-28 22:32:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7840434,https://static.inaturalist.org/photos/10324730/medium.jpg,,"","Speeding driver hit it, then backed over it. 

Large individual, approximate a meter and a half long and very thick. ",7,0,false,3,"Đường Xuyên Đảo Hải Phòng - Cát Bà, Haiphong, Thành Phố Hải Phòng, VN",20.7898694229,106.9959478049,56,,,,56,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
8139102,Wed Sep 27 2017 22:59:42 GMT+0800 (GMT+8),2017-09-27,2017-09-27 14:59:42 UTC,Perth,278595,farawaywolf,"",2017-09-27 17:11:20 UTC,2022-11-07 06:29:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8139102,https://inaturalist-open-data.s3.amazonaws.com/photos/10775335/medium.jpg,,"",,8,0,false,3,"Pak Sha Wan, , Hong Kong, HK",22.3513716667,114.239045,,,,,,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
8199978,2017-09-29 9:07:05 下午 GMT+08:00,2017-09-29,2017-09-29 01:07:05 UTC,Perth,21947,hugoto,Hugo To,2017-10-01 07:58:40 UTC,2023-03-01 09:13:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8199978,https://inaturalist-open-data.s3.amazonaws.com/photos/10861600/medium.jpeg,,"",,9,0,false,2,香港龍虎山克頓道,22.2805370507,114.1351755336,1376,,,,1376,,open,false,gps,gps,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
8516351,2017/09/29 10:53 PM HKT,2017-09-29,2017-09-29 14:53:00 UTC,Hong Kong,495713,cosmophasis,Colin Chiu,2017-10-23 04:13:09 UTC,2022-11-07 03:16:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8516351,https://inaturalist-open-data.s3.amazonaws.com/photos/11367842/medium.jpg,,"","",10,0,false,,,22.223954105,114.078773242,156,,,,30298,obscured,open,true,,,Bungarus fasciatus,Bungarus fasciatus,Banded Krait,Reptilia,30448
9797629,2018-01-31,2018-01-31,,Jakarta,342914,huda_wd,Huda Wiradarma,2018-02-09 17:27:52 UTC,2020-12-16 10:14:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9797629,https://inaturalist-open-data.s3.amazonaws.com/photos/13407313/medium.jpeg,,"","on the side of street, under the leaf",8,0,false,,"-6.6278866, 106.3833779",-6.627887,106.383378,16,,,,16,,open,false,,,Banded Krait,Bungarus fasciatus,Banded Krait,Reptilia,30448
