id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
456042,2013-11-12,2013-11-12,,Chennai,10612,zieak,Ryan McFarland,2013-11-13 19:40:19 UTC,2024-02-27 14:21:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/456042,https://inaturalist-open-data.s3.amazonaws.com/photos/575474/medium.JPG,,"","",7,0,false,,"Chennai, India",12.883428,80.246698,8,,,,8,,open,false,,,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
3872076,2015/12/12 8:31 PM UTC,2015-12-12,,UTC,173366,kshitijg,Kshitij G,2016-08-13 03:21:22 UTC,2020-04-23 12:12:33 UTC,research,,http://www.inaturalist.org/observations/3872076,https://static.inaturalist.org/photos/4540723/medium.jpeg,,"",© KMG realeasing krait,2,0,false,,,,,31,,,,30632,private,,true,,,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
4215910,2016-09-27 9:10:00 PM GMT+05:30,2016-09-27,2016-09-27 15:40:00 UTC,Chennai,275003,viragrrokde,Virag Rokde,2016-09-27 18:07:35 UTC,2023-07-19 04:29:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4215910,https://inaturalist-open-data.s3.amazonaws.com/photos/5070037/medium.jpeg,,"","Unfortunately it was about to die, I tried my best and moved it to road side",4,0,false,2,Sus Road Maharashtra 412115,18.5559997853,73.7385680526,1376,,,,1376,,open,false,gps,gps,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
9161952,2017-11-28 8:50:20 AM GMT+05:30,2017-11-28,2017-11-28 03:20:20 UTC,Chennai,6581,akrohn,Alex Krohn,2017-12-15 09:17:18 UTC,2020-10-24 17:41:17 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/9161952,https://inaturalist-open-data.s3.amazonaws.com/photos/12391290/medium.jpeg,,"",DOR,3,0,false,2,"Puttalam - Colombo Rd, Sri Lanka",7.7003250122,79.8287887573,,,,,,,,false,gps,gps,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
11478392,2018/04/27 10:32 PM IST,2018-04-27,2018-04-27 19:32:00 UTC,Jerusalem,577836,subhash_rajpurohit,Subhash Rajpurohit,2018-04-27 06:43:09 UTC,2021-10-26 03:31:14 UTC,research,,https://www.inaturalist.org/observations/11478392,https://static.inaturalist.org/photos/16382220/medium.jpg,,"","",7,0,false,,"serenity botanical garden and library, ahmedabad",23.11179,72.623228,1873,,,,1873,,,false,,,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
13481102,2018-06-16 8:38:38 PM IST,2018-06-16,2018-06-16 17:38:38 UTC,Jerusalem,579708,ravinaidu,Ravi Naidu,2018-06-16 15:35:47 UTC,2023-07-23 16:58:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13481102,https://inaturalist-open-data.s3.amazonaws.com/photos/19795930/medium.jpeg,,"",,6,0,false,2,"Adawal, Chhattisgarh 494001, India",19.0380554199,82.1041641235,,,,,,,open,false,gps,gps,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
13502993,2018-06-16 8:35:49 PM IST,2018-06-16,2018-06-16 17:35:49 UTC,Jerusalem,1019641,ashok147,Ashok Kashyap,2018-06-17 02:07:33 UTC,2023-07-23 16:58:03 UTC,research,,https://www.inaturalist.org/observations/13502993,https://static.inaturalist.org/photos/19834543/medium.jpeg,,"",,6,0,false,2,"Bastar, IN-CT, IN",19.0378627777,82.1039810181,,,,,,,open,false,gps,gps,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
14094958,Fri Jul 06 2018 00:36:59 GMT+0530 (GMT+5:30),2018-07-06,2018-07-05 19:06:59 UTC,Chennai,1064030,shaikh,,2018-07-06 04:27:24 UTC,2023-07-23 16:59:05 UTC,research,,https://www.inaturalist.org/observations/14094958,https://static.inaturalist.org/photos/20871549/medium.jpg,,"",,8,0,false,3,"Mulkhed Road, Haveli, Maharashtra, IN",18.5443416667,73.6780466667,5,,,,5,,open,false,,,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
14305379,2010-07-18 8:43:34 AM GMT+05:30,2010-07-18,2010-07-18 03:13:34 UTC,Chennai,135656,mayuresh_kulkarni,Mayuresh Kulkarni,2018-07-13 01:48:58 UTC,2023-07-29 06:33:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14305379,https://inaturalist-open-data.s3.amazonaws.com/photos/21247685/medium.jpeg,,"","The common krait (Bungarus caeruleus), also known as Indian krait or blue krait) is a species of venomous snake of the genus Bungarus found in the jungles of the Indiansubcontinent. It is a member of the ""big four"" species, inflicting the most snakebiteson humans in India.
The average length is 0.9 m (3.0 ft), but they can grow to 1.75 m (5 ft 9 in). Males are longer, with proportionately longer tails. The head is flat and the neck hardly evident. The body is cylindrical, tapering towards the tail. The tail is short and rounded. The eyes are rather small, with rounded pupils, indistinguishable in life. The head shields are normal, with no loreals; four shields occur along the margin of the lower lip; the third and fourth supraoculars touch the eye. The scales are highly polished, in 15-17 rows; the vertebral row is distinctly enlarged and hexagonal. Ventrals number 185-225 and caudals 37-50, entire.
Colouration is generally black or bluish black, with about 40 thin, white crossbars which may be indistinct or absent anteriorly. The pattern, however, is complete and well defined in the young, which are marked with conspicuous crossbars even anteriorly; in old individuals, the narrow white lines may be found as a series of connected spots, with a prominent spot on the vertebral region. A white preocular spot may be present; the upper lips and the belly are white.
Its range comprises a wide variety of habitats. It is found in fields and low scrub jungle, as well as inhabited areas. It is known to take up residence in termite mounds, brick piles, rat holes, even inside houses.It is frequently found in water or in proximity to a water source.
feeds primarily on other snakes, including: ""blind worms"" (snakes of the genus Typhlops); and cannibalizes on other kraits, including the young. It also feeds on small mammals (such as rats, and mice), lizards and frogs. The young are known to eat arthropods.
The common krait's venom consists mostly of powerful neurotoxins, which induce muscle paralysis. Clinically, its venom contains presynaptic and postsynaptic neurotoxins,which generally affect the nerve endings near the synaptic cleft of the brain.
Kraits are nocturnal, so seldom encounter humans during daylight hours; incidents occur mainly at night. Frequently, little or no pain occurs from a krait bite, and this can provide false reassurance to the victim. Typically, victims complain of severe abdominal cramps, accompanied by progressive paralysis.",7,0,false,2,"Hadapsar - Saswad - Jejuri Rd, Trishul Housing Society, Saswad, Maharashtra 412301, India",18.347290342,74.0297624096,698,,,,698,,open,false,gps,gps,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
14879434,2018-07-25 7:23:14 PM GMT+05:30,2018-07-25,2018-07-25 13:53:14 UTC,Chennai,1102351,akshaykumardubey,Akshay Kumar Dubey,2018-07-29 12:34:24 UTC,2023-07-23 17:00:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/14879434,https://inaturalist-open-data.s3.amazonaws.com/photos/22209889/medium.jpeg,,"",,4,0,false,2,"Pashchimi Singhbhum, IN-JH, IN",22.1467666626,85.4941558838,,,,,,,open,false,gps,gps,Common Krait,Bungarus caeruleus,Common Krait,Reptilia,96224
