id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
899259,2014-07-02 19:45:16,2014-07-02,2014-07-02 14:15:16 UTC,Kolkata,8853,ivijayanand,Vijay Anand Ismavel,2014-09-28 15:04:30 UTC,2022-12-22 07:08:05 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/899259,https://inaturalist-open-data.s3.amazonaws.com/photos/1144816/medium.jpg,,"Monocled kaouthia, Monocled Cobra, Tripura Reptiles","Monocled Cobra

Location: Makunda Christian Hospital branch, Kamalacherra, Dhalai District, Tripura

Date: 2nd July 2014",6,0,false,,Ambassa,23.919667,91.845,2993,,,,2993,,open,false,,google,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
1738101,2015-07-09,2015-07-09,,Central America,8353,dave_k_h,"",2015-07-09 14:49:08 UTC,2022-11-01 08:15:59 UTC,research,CC-BY,http://www.inaturalist.org/observations/1738101,https://static.inaturalist.org/photos/2107339/medium.jpg,,"",Unfortunately this individual was hit by a car….,9,0,false,,Ban Nam Khem Village,8.85874,98.271976,131,,,,131,,open,false,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
2865999,2016-01-27,2016-01-27,,Dhaka,100295,kibrea_tahseen,Kibrea Tahseen,2016-04-02 13:41:37 UTC,2022-03-20 11:33:16 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2865999,https://inaturalist-open-data.s3.amazonaws.com/photos/3272209/medium.JPG,,"","Moncled Cobra

It was founded in Savar, Dhaka",11,0,false,,"Dhaka, Bangladesh",23.810332,90.412518,18602,,,,18602,,open,false,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
4285413,2016-09-04 07:01:43,2016-09-04,2016-09-04 01:31:43 UTC,Kolkata,8853,ivijayanand,Vijay Anand Ismavel,2016-10-06 18:27:22 UTC,2021-03-17 08:55:49 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4285413,https://inaturalist-open-data.s3.amazonaws.com/photos/5136764/medium.jpg,,"Naja kaouthia, Monocled Cobra, Karimganj Reptiles","Monocled Cobra
Location: Forest Track, Karimganj District, Assam
Date: 4th September 2016
Equipment: Nikon D800 with Nikkor 300mm f2.8 + 1.7x TC",5,0,false,,"Forest Track, Karimganj District, Assam",24.471181,92.279502,,,,,,,open,false,,manual,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
5953631,2015/04/30 12:54 PM EDT,2015-04-30,2015-04-30 16:54:00 UTC,Eastern Time (US & Canada),458751,tremarctos,Ben Schweinhart,2017-04-25 17:15:11 UTC,2023-07-19 05:11:04 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/5953631,https://static.inaturalist.org/photos/7436175/medium.jpg,,"",,7,0,false,,"Kanchanjuri, Assam 784177, India",26.577531,93.171122,50000,,,,50000,,open,false,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
6232006,2017-05-16 12:57:55 PM GMT+08:00,2017-05-16,2017-05-16 04:57:55 UTC,Australia/Perth,446682,alyaa,Alyaa Amran,2017-05-16 05:18:54 UTC,2022-08-09 14:32:46 UTC,research,,https://www.inaturalist.org/observations/6232006,https://static.inaturalist.org/photos/7832256/medium.jpg,,"","Monocled cobras are famed for their magnificent hood,  which sports circular markings that resemble eyes. They are very timid and yet very dangerous snakes,  with a powerful toxin that can prove fatal of not treated. ",6,0,false,2,"4040, Jalan Tengku Mohd Maasum 15150 Kota Bahru Kelantan",6.1030226411,102.254181839,86,,,,86,,open,false,gps,gps,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
9955701,2018/01/19 5:08 AM EST,2018-01-19,2018-01-19 10:08:00 UTC,Eastern Time (US & Canada),767530,nedbrinkley,Ned Brinkley,2018-02-22 10:12:47 UTC,2023-01-06 02:00:01 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9955701,https://inaturalist-open-data.s3.amazonaws.com/photos/13670033/medium.jpeg,,"",Large (2.3 m) individual. Local herpetologist reviewing the images indicates that King Cobra is ruled out by scalation pattern in occipital area. All three photographs by Brad Murphy.,8,1,false,,"Huai Mae Priang, Kaeng Krachan District, Phetchaburi 76170, Thailand",12.8478415136,99.411774135,66430,,,,66430,,open,false,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
9994392,2018/01/19 11:46 PM EST,2018-01-19,2018-01-20 04:46:00 UTC,Eastern Time (US & Canada),767530,nedbrinkley,Ned Brinkley,2018-02-25 21:15:15 UTC,2022-11-01 08:17:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9994392,https://inaturalist-open-data.s3.amazonaws.com/photos/13738701/medium.jpg,,"","Found in a depression at a low-elevation area in the park, adjacent a meadow. Identification by a herpetologist on site, who attempted capture (used the name Siamese Cobra but probably there was a language issue and N. kaouthia was meant). No other images.
",7,0,false,,"Kaeng Krachan, Kaeng Krachan District, Phetchaburi 76170, Thailand",12.8667544,99.4004432,66430,,,,66430,,open,false,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
11442522,Fri Mar 30 2018 10:59:59 GMT+0800 (GMT+8),2018-03-30,2018-03-29 18:59:59 UTC,Perth,881879,danicafe,,2018-04-26 04:22:30 UTC,2022-11-01 08:18:11 UTC,research,,https://www.inaturalist.org/observations/11442522,https://static.inaturalist.org/photos/16322458/medium.jpg,,"",,8,0,false,3,"Lopburi, Lopburi, Lop Buri, TH",14.9130789908,100.6499918713,2501884,,,,2501884,,open,false,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
11549008,2018-04-20T11:48,2018-04-20,2018-04-20 01:48:00 UTC,Sydney,818683,jigmepema,,2018-04-27 22:57:23 UTC,2021-01-16 19:05:07 UTC,research,CC-BY,https://www.inaturalist.org/observations/11549008,https://static.inaturalist.org/photos/16490265/medium.jpg,,"","Field Notes - Monocled or monocellate, i.e. single cellation. 
Common in CNR.
Venomous.
Higher Taxa, Elapidae, Colubroidea, Alethinophida, Serpents, Squamata (snakes).",8,0,false,111,Bhutan,27.4951522116,89.866115415,,,,,29727,obscured,open,true,,,Monocellate Cobra,Naja kaouthia,Monocellate Cobra,Reptilia,106447
