id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1079229,"May 25, 2013",2013-05-25,,Pacific Time (US & Canada),8060,herpguy,Paul Freed,2014-11-18 00:31:33 UTC,2024-06-22 03:10:08 UTC,research,CC-BY,http://www.inaturalist.org/observations/1079229,https://static.inaturalist.org/photos/1354898/medium.JPG,,"",This cobra was observed during the day in a farm near the village of Hunsur in the Western Ghats of southwestern India.,15,0,false,,"Hunsur, India",12.315031,76.300986,1590,,,,1590,,,false,,,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
1240952,2015-02-18 14:16:46,2015-02-18,2015-02-18 08:46:46 UTC,New Delhi,34585,subhajit_roy,Subhajit Roy,2015-02-18 16:13:11 UTC,2023-07-19 04:24:08 UTC,research,CC-BY,http://www.inaturalist.org/observations/1240952,https://inaturalist-open-data.s3.amazonaws.com/photos/1562666/medium.JPG,,"","",9,0,false,,Syambati,23.685266,87.683635,,,,,,,,false,,,Naja naja,Naja naja,Indian Cobra,Reptilia,53492
1456771,2015-05-04,2015-05-04,,Chennai,93988,biotrek,,2015-05-05 11:34:26 UTC,2024-04-02 13:01:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1456771,https://inaturalist-open-data.s3.amazonaws.com/photos/1806107/medium.jpg,,"",OLYMPUS DIGITAL CAMERA         ,10,0,false,62,"Kolar, IN-KA, IN",13.0079028955,77.9438781738,,,,,,,,false,,,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
1456784,2015-05-04,2015-05-04,,Chennai,93988,biotrek,,2015-05-05 11:56:06 UTC,2023-07-19 04:24:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1456784,https://inaturalist-open-data.s3.amazonaws.com/photos/1806128/medium.jpg,,"Snake, Cobra",OLYMPUS DIGITAL CAMERA         ,9,0,false,62,"Kolar, IN-KA, IN",13.0075,77.93778,,,,,,,,false,,,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
3529174,2015-02-17 2:12:26 PM GMT+05:30,2015-02-17,2015-02-17 08:42:26 UTC,Chennai,262032,parthasarathi2,partha sarathi,2016-06-26 22:39:42 UTC,2023-07-23 16:52:57 UTC,research,,http://www.inaturalist.org/observations/3529174,https://static.inaturalist.org/photos/4111033/medium.JPG,,"",,9,0,false,2,"Syambati, West Bengal 731204",23.6878033451,87.6840087399,516,,,,516,,,false,gps,gps,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
3753212,2016-07-27 11:48:51 AM GMT+05:30,2016-07-27,2016-07-27 06:18:51 UTC,Chennai,265796,dhruvphadke1993,Ar. Dhruv Phadke,2016-07-27 07:24:00 UTC,2023-07-23 16:53:00 UTC,research,,http://www.inaturalist.org/observations/3753212,https://static.inaturalist.org/photos/4368785/medium.jpg,,"",Baby cobra 1.5 feet long just outside the college,10,0,false,2,Maharashtra 412115,18.4908809662,73.7075042725,,,,,,,,false,gps,gps,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
3891662,2016-07-28 7:32:17 PM GMT+05:30,2016-07-28,2016-07-28 14:02:17 UTC,Chennai,100735,chandan,Chandan Pandey,2016-08-15 14:03:44 UTC,2023-08-27 00:39:36 UTC,research,,http://www.inaturalist.org/observations/3891662,https://static.inaturalist.org/photos/4569906/medium.jpeg,,"",,12,0,false,2,"Rajiv Gandhi Nagar, Kodigehalli Bengaluru, Karnataka",13.0709695,77.5802011,20,,,,20,,,false,,,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
4179945,2015-08-13,2015-08-13,,Mumbai,334577,chethankumar,Chethan kumar,2016-09-23 08:23:52 UTC,2023-07-19 04:29:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4179945,https://inaturalist-open-data.s3.amazonaws.com/photos/4978981/medium.jpg,,"","",9,0,false,,Osmania University,17.402367,78.530327,63,,,,63,,,false,,,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
4486473,2015-11-19 07:56:31,2015-11-19,2015-11-19 02:26:31 UTC,New Delhi,17614,balharsh,Harshjeet Singh Bal,2016-11-03 07:48:31 UTC,2022-12-03 17:46:27 UTC,research,CC-BY,http://www.inaturalist.org/observations/4486473,https://inaturalist-open-data.s3.amazonaws.com/photos/5417854/medium.jpg,,"",The Indian  Spectacled cobra (Naja naja),7,0,false,,"Nimora, Raipur",21.349348,81.648713,1450,,,,1450,,,false,,google,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
4849806,2016/12/20 4:14 AM HST,2016-12-20,2016-12-20 14:14:00 UTC,Hawaii,377971,laya,Laya Dasari,2016-12-27 08:38:19 UTC,2023-07-23 16:53:40 UTC,research,CC-BY-NC-SA,https://www.inaturalist.org/observations/4849806,https://inaturalist-open-data.s3.amazonaws.com/photos/5889919/medium.jpeg,,"","This cobra appeared threatened, and I did not want to approach. People attempted to poke the snake with sticks, and the snake slightly adjusted, but did not move significantly. Many people crowded around after a few minutes, as the snake was in the roadway in the late afternoon. The snake did not move much at all for a minimum of ten minutes.",11,0,false,,"Mahbubnagar, IN-TG, IN",16.5075400599,78.6294537817,18669,,,,30810,obscured,,true,,,Indian Cobra,Naja naja,Indian Cobra,Reptilia,53492
